f1,f2,f3,fir1_f1
7,666,888,2.9792846694
4.6273073829,667,889,5.3922378509
3.0420134671,,,7.5195640732
7.542859672,,,8.8643624479
9.7499234904,,,9.2984266772
13.0901699437,,,8.228429282
7.9806557016,,,5.3448674636
-5.3192928092,,,1.123425912
-7.10829651,,,-3.6257050341
-4.5690307978,,,-7.6109768256
-6.510565163,,,-9.866550288
-7.2004915367,,,-10.5234675464
-11.8703302381,,,-9.1239667757
-11.3054659543,,,-5.7646316189
1.909786625,,,-1.3322375572
8.0901699437,,,3.4504872123
6.7725220424,,,7.3756046363
7.1547929196,,,9.675946867
5.3171483237,,,10.4836630293
9.1325812677,,,9.3976678433
12.8778525229,,,6.3454316107
2.2433276131,,,2.0808372456
-7.1500178323,,,-2.757269497
-8.5172118368,,,-6.9687304345
-9.1212195415,,,-9.5045714414
-5,,,-10.4521154172
-5.885151564,,,-9.6109633972
-12.321437902,,,-6.8436591894
-5.9139498548,,,-2.7979076079
4.5944686223,,,2.0035389651
8.8778525229,,,6.4769393002
11.4837222769,,,9.3203695628
6.5532163012,,,10.4430249183
3.3505668544,,,9.8010181121
10.0085900199,,,7.2692126805
8.0901699437,,,3.4504872123
-1.3262813525,,,-1.2258456014
-7.5012398891,,,-5.889702864
-13.1063982156,,,-9.0833286647
-9.5516325459,,,-10.4461692659
-2.510565163,,,-9.9980579775
-6.9201718069,,,-7.6513886675
-8.3443644875,,,-4.0257424824
-1.515066744,,,0.4679981334
4.7445877241,,,5.2218079242
13.0901699437,,,8.7608088847
12.9859914679,,,10.4314045679
3.7386336068,,,10.2131699692
4.2780814446,,,8.026685331
6.9784483921,,,4.5354788527
3,,,0.2342817723
-1.5371374392,,,-4.5086211459
-11.1321834109,,,-8.3400073568
-15.6330296158,,,-10.360782639
-6.6597535467,,,-10.4336405363
-3.0901699437,,,-8.4237530296
-4.8904857579,,,-5.0112599811
-2.7708771346,,,-0.8657532933
-0.9818734338,,,3.7936966786
7.6592007415,,,7.8328429353
16.510565163,,,10.203606143
10.2906614804,,,10.6276235336
3.7801602944,,,8.8512828609
3.2152960105,,,5.4919477041
1.1803833188,,,1.4363935444
1.9098300563,,,-3.1134313572
-3.6823520987,,,-7.271448649
-15.2449628633,,,-9.9486307818
-13.4073182674,,,-10.7563469441
-6.042411324,,,-9.293511856
-2.8778525229,,,-6.0083757556
0.8468423306,,,-1.9766812583
-0.9401521115,,,2.4845855821
0.427041893,,,6.6960465197
12.2113894853,,,9.6087274287
15,,,10.7891712723
8.9753215078,,,9.7151193845
4.2312679582,,,6.5709752746
-2.176220089,,,2.5252236931
-1.5042986786,,,-1.8993829778
1.1221474771,,,-6.1398834451
-8.3935523331,,,-9.2162135755
-14.6433862449,,,-10.7157088331
-11.4407367982,,,-10.0737020269
-6.9184200762,,,-7.1650566932
1.9098300563,,,-3.1134313572
4.4164512963,,,1.3300015887
-0.5889300547,,,5.6170189492
5.0162282719,,,8.8106447499
12.6418024896,,,10.5503252532
12.510565163,,,10.3351138326
10.0103417507,,,7.7555446548
0.2541945437,,,3.7530585676
-6.5751031998,,,-0.7406820482
-1.6544177804,,,-5.1176519369
-3.0901699437,,,-8.4237530296
-9.8958215242,,,-10.3272485806
-11.8288035506,,,-10.4858538841
-12.3682513884,,,-8.2993692459
-3.8882784484,,,-4.4313228654
7,,,0.1027740828
4.6273073829,,,4.6127771332
3.0420134671,,,8.067323442
7.542859672,,,10.0880987241
9.7499234904,,,10.5377965236
13.0901699437,,,8.7608088847
7.9806557016,,,5.1154159684
-5.3192928092,,,0.5930693785
-7.10829651,,,-4.0663805934
-4.5690307978,,,-7.728686948
-6.510565163,,,-9.866550288
-7.2004915367,,,-10.5234675464
-11.8703302381,,,-9.1239667757
-11.3054659543,,,-5.7646316189
1.909786625,,,-1.3322375572
8.0901699437,,,3.4504872123
6.7725220424,,,7.3756046363
7.1547929196,,,9.675946867
5.3171483237,,,10.4836630293
9.1325812677,,,9.3976678433
12.8778525229,,,6.3454316107
2.2433276131,,,2.0808372456
-7.1500178323,,,-2.757269497
-8.5172118368,,,-6.9687304345
-9.1212195415,,,-9.5045714414
-5,,,-10.4521154172
-5.885151564,,,-9.6109633972
-12.321437902,,,-6.8436591894
-5.9139498548,,,-2.7979076079
4.5944686223,,,2.0035389651
8.8778525229,,,6.4769393002
11.4837222769,,,9.3203695628
6.5532163012,,,10.4430249183
3.3505668544,,,9.8010181121
10.0085900199,,,7.2692126805
8.0901699437,,,3.4504872123
-1.3262813525,,,-1.2258456014
-7.5012398891,,,-5.889702864
-13.1063982156,,,-9.0833286647
-9.5516325459,,,-10.4461692659
-2.510565163,,,-9.9980579775
-6.9201718069,,,-7.6513886675
-8.3443644875,,,-4.0257424824
-1.515066744,,,0.4679981334
4.7445877241,,,5.2218079242
13.0901699437,,,8.7608088847
12.9859914679,,,10.4314045679
3.7386336068,,,10.2131699692
4.2780814446,,,8.026685331
6.9784483921,,,4.5354788527
3,,,0.2342817723
-1.5371374392,,,-4.5086211459
-11.1321834109,,,-8.3400073568
-15.6330296158,,,-10.360782639
-6.6597535467,,,-10.4336405363
-3.0901699437,,,-8.4237530296
-4.8904857579,,,-5.0112599811
-2.7708771346,,,-0.8657532933
-0.9818734338,,,3.7936966786
7.6592007415,,,7.8328429353
16.510565163,,,10.203606143
10.2906614804,,,10.6276235336
3.7801602944,,,8.8512828609
3.2152960105,,,5.4919477041
1.1803833188,,,1.4363935444
1.9098300563,,,-3.1134313572
-3.6823520987,,,-7.271448649
-15.2449628633,,,-9.9486307818
-13.4073182674,,,-10.7563469441
-6.042411324,,,-9.293511856
-2.8778525229,,,-6.0083757556
0.8468423306,,,-1.9766812583
-0.9401521115,,,2.4845855821
0.427041893,,,6.6960465197
12.2113894853,,,9.6087274287
15,,,10.7891712723
8.9753215078,,,9.7151193845
4.2312679582,,,6.5709752746
-2.176220089,,,2.5252236931
-1.5042986786,,,-1.8993829778
1.1221474771,,,-6.1398834451
-8.3935523331,,,-9.2162135755
-14.6433862449,,,-10.7157088331
-11.4407367982,,,-10.0737020269
-6.9184200762,,,-7.1650566932
1.9098300563,,,-3.1134313572
4.4164512963,,,1.3300015887
-0.5889300547,,,5.6170189492
5.0162282719,,,8.8106447499
12.6418024896,,,10.5503252532
12.510565163,,,10.3351138326
10.0103417507,,,7.7555446548
0.2541945437,,,3.7530585676
-6.5751031998,,,-0.7406820482
-1.6544177804,,,-5.1176519369
-3.0901699437,,,-8.4237530296
-9.8958215242,,,-10.3272485806
-11.8288035506,,,-10.4858538841
-12.3682513884,,,-8.2993692459
-3.8882784484,,,-4.4313228654
7,,,0.1027740828
4.6273073829,,,4.6127771332
3.0420134671,,,8.067323442
7.542859672,,,10.0880987241
9.7499234904,,,10.5377965236
13.0901699437,,,8.7608088847
7.9806557016,,,5.1154159684
-5.3192928092,,,0.5930693785
-7.10829651,,,-4.0663805934
-4.5690307978,,,-7.728686948
-6.510565163,,,-9.866550288
-7.2004915367,,,-10.5234675464
-11.8703302381,,,-9.1239667757
-11.3054659543,,,-5.7646316189
1.909786625,,,-1.3322375572
8.0901699437,,,3.4504872123
6.7725220424,,,7.3756046363
7.1547929196,,,9.675946867
5.3171483237,,,10.4836630293
9.1325812677,,,9.3976678433
12.8778525229,,,6.3454316107
2.2433276131,,,2.0808372456
-7.1500178323,,,-2.757269497
-8.5172118368,,,-6.9687304345
-9.1212195415,,,-9.5045714414
-5,,,-10.4521154172
-5.885151564,,,-9.6109633972
-12.321437902,,,-6.8436591894
-5.9139498548,,,-2.7979076079
4.5944686223,,,2.0035389651
8.8778525229,,,6.4769393002
11.4837222769,,,9.3203695628
6.5532163012,,,10.4430249183
3.3505668544,,,9.8010181121
10.0085900199,,,7.2692126805
8.0901699437,,,3.4504872123
-1.3262813525,,,-1.2258456014
-7.5012398891,,,-5.889702864
-13.1063982156,,,-9.0833286647
-9.5516325459,,,-10.4461692659
-2.510565163,,,-9.9980579775
-6.9201718069,,,-7.6513886675
-8.3443644875,,,-4.0257424824
-1.515066744,,,0.4679981334
4.7445877241,,,5.2218079242
13.0901699437,,,8.7608088847
12.9859914679,,,10.5794545814
3.7386336068,,,10.3803797143
4.2780814446,,,8.0552297527
6.9784483921,,,4.105157796
3,,,-0.7669988939
-1.5371374392,,,-5.3907726833
-11.1321834109,,,-8.2784182609
-15.6330296158,,,-8.9969475282
-6.6597535467,,,-7.9315197444
-3.0901699437,,,-5.6610080343
